caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,27000,180.000,20512,136.747,172.700,0.760,0.959,0.537,0.515,0.408,0.112,0.240,0.041,0.000,0.000,0.444,0.032,0.609,0.666,0.178,0.811,0.964,0.439,0.069,0.648,1.945,0.189,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-lobby-transparency,Default pass + lobby transparency,27000,180.000,22592,150.613,180.000,0.837,1.000,0.531,0.498,0.445,0.107,0.163,0.000,0.000,0.000,0.453,0.022,0.676,0.673,0.198,0.797,0.997,0.570,0.000,0.000,0.000,0.203,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-public-interest-screen,Default pass + public-interest screen,27000,180.000,20744,138.293,163.493,0.768,0.908,0.534,0.512,0.410,0.110,0.232,0.092,0.000,0.000,0.444,0.050,0.614,0.663,0.217,0.802,0.942,0.433,0.000,0.000,0.000,0.198,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-lobby-audit,Default pass + anti-capture audit,27000,180.000,20642,137.613,179.933,0.765,1.000,0.533,0.507,0.407,0.109,0.235,0.000,0.000,0.000,0.448,0.078,0.613,0.666,0.215,0.803,0.992,0.456,0.000,0.000,0.000,0.197,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,27000,180.000,20475,136.500,172.733,0.758,0.960,0.536,0.516,0.407,0.112,0.242,0.040,0.000,0.000,0.443,0.035,0.609,0.667,0.177,0.811,0.962,0.437,0.000,0.000,0.000,0.189,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,6050,40.333,40.467,0.224,0.225,0.589,0.659,0.132,0.241,0.776,0.545,0.230,0.000,0.196,0.500,0.074,0.252,0.210,0.859,0.623,0.373,0.000,0.000,0.000,0.141,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-challenge,Default pass + challenge vouchers,27000,180.000,23234,154.893,180.000,0.861,1.000,0.510,0.479,0.439,0.102,0.139,0.000,0.000,0.167,0.461,0.083,0.650,0.616,0.258,0.805,0.957,0.609,0.000,0.000,0.000,0.195,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,27000,180.000,6857,45.713,45.960,0.254,0.255,0.582,0.680,0.148,0.257,0.746,0.745,0.000,0.000,0.202,0.464,0.081,0.250,0.165,0.823,0.848,0.274,0.000,0.000,0.000,0.177,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-adaptive-track,Default pass + adaptive tracks,27000,180.000,11955,79.700,167.580,0.443,0.931,0.564,0.604,0.250,0.172,0.557,0.069,0.000,0.000,0.243,0.176,0.223,0.403,0.198,0.812,0.915,0.371,0.000,0.000,0.000,0.188,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-sunset-trial,Default pass + sunset trial,27000,180.000,12751,85.007,180.000,0.472,1.000,0.556,0.616,0.262,0.152,0.528,0.000,0.000,0.000,0.363,0.096,0.274,0.472,0.175,0.825,0.974,0.295,0.000,0.000,0.000,0.175,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-earned-credits,Default pass + earned proposal credits,27000,180.000,15882,105.880,124.420,0.588,0.691,0.538,0.520,0.317,0.118,0.412,0.309,0.000,0.000,0.429,0.235,0.442,0.618,0.235,0.807,0.790,0.511,0.000,0.000,0.000,0.193,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,bicameral-majority,Bicameral simple majority,27000,180.000,4829,32.193,180.000,0.179,1.000,0.623,0.674,0.112,0.282,0.821,0.000,0.000,0.000,0.000,0.581,0.054,0.231,0.208,0.826,0.511,0.374,0.000,0.000,0.000,0.174,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,3094,20.627,180.000,0.115,1.000,0.637,0.693,0.073,0.308,0.885,0.000,0.000,0.000,0.000,0.715,0.032,0.211,0.208,0.825,0.346,0.367,0.000,0.000,0.000,0.175,1624,14
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,45000,300.000,12074,80.493,300.000,0.268,1.000,0.598,0.642,0.160,0.232,0.732,0.000,0.000,0.000,0.000,0.427,0.105,0.312,0.209,0.825,0.724,0.390,0.000,0.000,0.000,0.175,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,45000,300.000,12774,85.160,300.000,0.284,1.000,0.608,0.646,0.173,0.231,0.716,0.000,0.000,0.000,0.000,0.384,0.115,0.327,0.192,0.838,0.796,0.350,0.000,0.000,0.000,0.162,0,0
